Ano;Modalidade;Semestre;Centro;Curso;Turno;Ingressantes;Matriculados;Concluintes;Desligados;Trancados
2019;Presencial;1;CTG;Geologia;Integral;19;135;6;16;8
2019;Presencial;1;CTG;Oceanografia;Integral;20;84;3;8;4
2019;Presencial;1;CTG;Química Industrial;Noturno;39;189;19;10;17
2019;Presencial;2;CAA;Administração - CAA;Matutino;40;327;18;23;13
2019;Presencial;2;CAA;Administração - CAA;Noturno;42;315;13;21;14
2019;Presencial;2;CAA;Ciências Econômicas - CAA;Noturno;50;384;30;33;22
2019;Presencial;2;CAA;Comunicação Social - CAA;Integral;0;139;0;8;2
2019;Presencial;2;CAA;Design - CAA;Integral;40;300;19;29;24
2019;Presencial;2;CAA;Design - CAA;Noturno;40;324;14;28;28
2019;Presencial;2;CAA;Engenharia Civil - CAA;Integral;40;369;30;27;15
2019;Presencial;2;CAA;Engenharia de Produção - CAA;Integral;39;349;20;21;14
2019;Presencial;2;CAA;Física - CAA;Noturno;41;287;14;17;11
2019;Presencial;2;CAA;Matemática - CAA;Noturno;41;349;42;12;13
2019;Presencial;2;CAA;Medicina - CAA;Integral;8;449;69;6;9
2019;Presencial;2;CAA;Pedagogia - CAA;Noturno;40;296;24;13;7
2019;Presencial;2;CAA;Química - CAA;Noturno;38;293;26;22;7
2019;Presencial;2;CAC;Arquitetura e Urbanismo;Integral;52;494;37;16;16
2019;Presencial;2;CAC;Artes Visuais - Bacharelado;Matutino;0;18;0;2;0
2019;Presencial;2;CAC;Artes Visuais - Licenciatura;Integral;2;135;5;12;8
2019;Presencial;2;CAC;Biblioteconomia;vespertino;1;198;25;9;2
2019;Presencial;2;CAC;Cinema e Audiovisual;vespertino;50;195;19;7;8
2019;Presencial;2;CAC;Dança;Noturno;0;116;8;10;13
2019;Presencial;2;CAC;Design;Integral;35;312;14;11;14
2019;Presencial;2;CAC;Expressão Gráfica;Integral;0;73;7;7;14
2019;Presencial;2;CAC;Gestão da Informação;Noturno;0;178;8;13;13
2019;Presencial;2;CAC;Jornalismo;vespertino;3;187;22;4;11
2019;Presencial;2;CAC;Letras - Bacharelado;vespertino;0;119;7;6;8
2019;Presencial;2;CAC;Letras - Espanhol;Matutino;30;104;9;6;8
2019;Presencial;2;CAC;Letras - Espanhol;Noturno;0;90;4;8;3
2019;Presencial;2;CAC;Letras - Francês;vespertino;1;43;2;2;3
2019;Presencial;2;CAC;Letras - Inglês;Matutino;30;123;5;4;4
2019;Presencial;2;CAC;Letras - Libras;Matutino;30;111;2;2;6
2019;Presencial;2;CAC;Letras - Português;Noturno;0;129;5;10;8
2019;Presencial;2;CAC;Letras - Português;vespertino;61;255;14;13;15
2019;Presencial;2;CAC;Música;Integral;0;101;9;3;5
2019;Presencial;2;CAC;Música;Matutino;0;6;0;0;1
2019;Presencial;2;CAC;Música;Noturno;26;98;6;5;4
2019;Presencial;2;CAC;Música;vespertino;0;2;2;0;0
2019;Presencial;2;CAC;Música - Canto;Matutino;0;3;0;1;0
2019;Presencial;2;CAC;Música - Instrumento;Matutino;0;52;12;2;3
2019;Presencial;2;CAC;Publicidade e Propaganda;Matutino;47;170;10;5;12
2019;Presencial;2;CAC;Rádio, TV e Internet;Matutino;30;136;13;4;3
2019;Presencial;2;CAC;Teatro;Integral;0;128;14;11;3
2019;Presencial;2;CAV;Ciências Biológicas - CAV;Noturno;44;418;43;11;9
2019;Presencial;2;CAV;Educação Física - Bacharelado - CAV;Matutino;36;263;23;11;10
2019;Presencial;2;CAV;Educação Física - Licenciatura - CAV;vespertino;45;335;46;24;11
2019;Presencial;2;CAV;Enfermagem - CAV;Integral;31;266;24;1;4
2019;Presencial;2;CAV;Enfermagem - CAV;vespertino;0;2;0;0;0
2019;Presencial;2;CAV;Nutrição - CAV;Matutino;31;228;32;7;1
2019;Presencial;2;CAV;Saúde Coletiva - CAV;Noturno;30;196;24;12;6
2019;Presencial;2;CB;Biomedicina;Integral;60;445;48;24;17
2019;Presencial;2;CB;Ciências Biológicas - Bacharelado;Integral;52;416;36;21;19
2019;Presencial;2;CB;Ciências Biológicas - Ciências Ambientais;Integral;38;229;3;12;14
2019;Presencial;2;CB;Ciências Biológicas - Ciências Ambientais;vespertino;0;75;18;7;6
2019;Presencial;2;CB;Ciências Biológicas - Licenciatura;Noturno;49;373;20;24;25
2019;Presencial;2;CCEN;Estatística;Integral;0;95;6;4;5
2019;Presencial;2;CCEN;Física - Bacharelado;Integral;1;92;7;9;3
2019;Presencial;2;CCEN;Física - Licenciatura;Noturno;0;95;11;7;6
2019;Presencial;2;CCEN;Matemática - Bacharelado;Integral;0;61;4;13;10
2019;Presencial;2;CCEN;Matemática - Licenciatura;Noturno;0;123;8;13;14
2019;Presencial;2;CCEN;Química - Bacharelado;Integral;1;62;3;6;4
2019;Presencial;2;CCEN;Química - Licenciatura;Noturno;0;106;4;7;8
2019;Presencial;2;CCJ;Direito;Matutino;52;514;49;5;21
2019;Presencial;2;CCJ;Direito;Noturno;102;792;90;9;26
2019;Presencial;2;CCM;Medicina;Integral;73;835;82;2;7
2019;Presencial;2;CCS;Educação Física - Bacharelado;Integral;62;482;23;24;20
2019;Presencial;2;CCS;Educação Física - Licenciatura;Integral;60;471;43;38;16
2019;Presencial;2;CCS;Enfermagem;Integral;58;345;20;14;14
2019;Presencial;2;CCS;Farmácia;Integral;49;442;37;4;17
2019;Presencial;2;CCS;Fisioterapia;Integral;35;293;24;4;10
2019;Presencial;2;CCS;Fonoaudiologia;Integral;6;104;11;3;2
2019;Presencial;2;CCS;Nutrição;Integral;36;235;21;8;5
2019;Presencial;2;CCS;Odontologia;Integral;69;486;49;9;8
2019;Presencial;2;CCS;Odontologia;Noturno;21;192;14;6;4
2019;Presencial;2;CCS;Terapia Ocupacional;Integral;18;149;11;1;4
2019;Presencial;2;CCSA;Administração;Matutino;53;411;26;12;21
2019;Presencial;2;CCSA;Administração;Noturno;51;380;25;28;20
2019;Presencial;2;CCSA;Ciências Atuariais;Integral;0;89;8;16;8
2019;Presencial;2;CCSA;Ciências Contábeis;Noturno;52;383;24;28;31
2019;Presencial;2;CCSA;Ciências Contábeis;vespertino;62;466;38;28;21
2019;Presencial;2;CCSA;Ciências Econômicas;Matutino;0;229;17;27;23
2019;Presencial;2;CCSA;Ciências Econômicas;Noturno;0;234;11;28;30
2019;Presencial;2;CCSA;Hotelaria;Integral;30;108;5;12;11
2019;Presencial;2;CCSA;Secretariado;Noturno;59;359;28;14;20
2019;Presencial;2;CCSA;Serviço Social;Matutino;5;202;24;11;10
2019;Presencial;2;CCSA;Serviço Social;vespertino;62;219;8;7;6
2019;Presencial;2;CCSA;Turismo;Noturno;35;145;14;12;14
2019;Presencial;2;CCSA;Turismo;vespertino;0;143;17;9;8
2019;Presencial;2;CE;Pedagogia;Matutino;52;417;35;5;19
2019;Presencial;2;CE;Pedagogia;Noturno;51;378;27;23;25
2019;Presencial;2;CE;Pedagogia;vespertino;54;202;15;10;10
2019;Presencial;2;CFCH;Arqueologia;Integral;0;110;13;10;5
2019;Presencial;2;CFCH;Ciência Política;Integral;0;151;9;12;8
2019;Presencial;2;CFCH;Ciências Sociais - Bacharelado;vespertino;2;186;11;18;10
2019;Presencial;2;CFCH;Ciências Sociais - Licenciatura;Noturno;60;227;13;12;12
2019;Presencial;2;CFCH;Filosofia - Bacharelado;vespertino;0;57;9;10;11
2019;Presencial;2;CFCH;Filosofia - Licenciatura;vespertino;2;125;11;13;6
2019;Presencial;2;CFCH;Geografia - Bacharelado;Noturno;0;2;1;4;1
2019;Presencial;2;CFCH;Geografia - Bacharelado;vespertino;0;203;16;22;12
2019;Presencial;2;CFCH;Geografia - Licenciatura;Matutino;1;204;23;15;8
2019;Presencial;2;CFCH;Geografia - Licenciatura;Noturno;0;216;20;20;6
2019;Presencial;2;CFCH;História - Bacharelado;vespertino;0;107;3;10;11
2019;Presencial;2;CFCH;História - Licenciatura;Noturno;55;247;23;15;8
2019;Presencial;2;CFCH;História - Licenciatura;vespertino;1;88;8;4;5
2019;Presencial;2;CFCH;Museologia;Noturno;0;79;6;12;5
2019;Presencial;2;CFCH;Psicologia;Integral;41;385;35;8;13
2019;Presencial;2;CIn;Ciência da Computação;Integral;51;485;27;13;23
2019;Presencial;2;CIn;Engenharia da Computação;Integral;52;521;35;24;35
2019;Presencial;2;CIn;Sistema de Informação;Integral;34;231;0;3;6
2019;Presencial;2;CIn;Sistema de Informação;vespertino;0;88;12;4;5
2019;Presencial;2;CTG;ABI-Engenharia;Integral;316;654;0;38;1
2019;Presencial;2;CTG;Engenharia Biomédica;Integral;0;101;5;5;5
2019;Presencial;2;CTG;Engenharia Cartográfica e de Agrimensura;Integral;0;97;2;7;11
2019;Presencial;2;CTG;Engenharia Cartográfica e de Agrimensura;Noturno;32;84;1;7;7
2019;Presencial;2;CTG;Engenharia Civil;Integral;0;513;40;20;18
2019;Presencial;2;CTG;Engenharia de Alimentos;Integral;0;89;5;6;8
2019;Presencial;2;CTG;Engenharia de Controle e Automação;Integral;1;154;1;5;19
2019;Presencial;2;CTG;Engenharia de Energia;Integral;0;84;5;5;8
2019;Presencial;2;CTG;Engenharia de Materiais;Integral;3;62;5;7;4
2019;Presencial;2;CTG;Engenharia de Minas;Integral;0;45;2;4;2
2019;Presencial;2;CTG;Engenharia de Produção;Integral;1;187;17;11;7
2019;Presencial;2;CTG;Engenharia Elétrica;Integral;0;303;16;10;17
2019;Presencial;2;CTG;Engenharia Eletrônica;Integral;3;247;15;12;26
2019;Presencial;2;CTG;Engenharia Mecânica;Integral;0;500;34;13;28
2019;Presencial;2;CTG;Engenharia Naval;Integral;0;91;7;4;9
2019;Presencial;2;CTG;Engenharia Química;Integral;0;396;44;6;18
2019;Presencial;2;CTG;Geologia;Integral;19;134;4;13;9
2019;Presencial;2;CTG;Oceanografia;Integral;0;73;2;10;2
2019;Presencial;2;CTG;Química Industrial;Noturno;1;164;15;10;14
2020;EAD;1;CAC;Letras - Língua Espanhola - EAD;EAD;0;90;2;10;6
2020;EAD;1;CAC;Letras - Língua Portuguesa - EAD;EAD;0;128;3;10;7
2020;EAD;1;CCEN;Matemática - EAD;EAD;0;53;3;6;0
2020;EAD;1;CCSA;Ciências Contábeis - EAD;EAD;0;106;5;19;16
2020;EAD;1;CFCH;Geografia - EAD;EAD;0;69;3;10;5
2020;EAD;2;CAC;Letras - Língua Espanhola - EAD;EAD;113;184;2;20;3
2020;EAD;2;CAC;Letras - Língua Portuguesa - EAD;EAD;113;230;5;13;2
2020;EAD;2;CCEN;Matemática - EAD;EAD;107;148;2;8;1
2020;EAD;2;CCSA;Ciências Contábeis - EAD;EAD;81;162;9;27;9
2020;EAD;2;CFCH;Geografia - EAD;EAD;104;166;0;8;1
2020;Presencial;1;CAA;Administração - CAA;Matutino;37;326;19;19;14
2020;Presencial;1;CAA;Administração - CAA;Noturno;39;313;20;23;17
2020;Presencial;1;CAA;Ciências Econômicas - CAA;Noturno;50;369;20;35;22
2020;Presencial;1;CAA;Comunicação Social - CAA;Integral;39;169;10;3;8
2020;Presencial;1;CAA;Design - CAA;Integral;40;303;10;20;22
2020;Presencial;1;CAA;Design - CAA;Noturno;40;313;14;25;40
2020;Presencial;1;CAA;Engenharia Civil - CAA;Integral;40;349;40;26;17
2020;Presencial;1;CAA;Engenharia de Produção - CAA;Integral;40;340;32;30;13
2020;Presencial;1;CAA;Física - CAA;Noturno;40;270;25;33;19
2020;Presencial;1;CAA;Matemática - CAA;Noturno;40;325;29;22;13
2020;Presencial;1;CAA;Medicina - CAA;Integral;82;463;6;2;6
2020;Presencial;1;CAA;Pedagogia - CAA;Noturno;40;295;28;11;13
2020;Presencial;1;CAA;Química - CAA;Noturno;38;286;17;19;7
2020;Presencial;1;CAC;Arquitetura e Urbanismo;Integral;51;485;41;24;15
